https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume XRP,Volume EUR,tradecount
1592006400000,2020-06-13,XRPEUR,0.17208,0.174,0.17131,0.17244,69822.4,12102.077114,101
1591920000000,2020-06-12,XRPEUR,0.16977,0.17387,0.16977,0.17284,59608.0,10282.268662,104
1591833600000,2020-06-11,XRPEUR,0.17901,0.18003,0.16469,0.16941,161422.7,27988.086511,215
1591747200000,2020-06-10,XRPEUR,0.17938,0.18003,0.177,0.179,117487.2,21023.081352,154
1591660800000,2020-06-09,XRPEUR,0.182,0.18251,0.17762,0.17885,155294.5,27923.255622,221
1591574400000,2020-06-08,XRPEUR,0.18164,0.18227,0.17989,0.182,105806.2,19189.389907,223
1591488000000,2020-06-07,XRPEUR,0.18209,0.18281,0.1782,0.18184,180245.7,32516.118578,172
1591401600000,2020-06-06,XRPEUR,0.18054,0.1835,0.1805,0.18246,90590.2,16470.317237,162
1591315200000,2020-06-05,XRPEUR,0.18042,0.18274,0.17958,0.18202,77926.0,14146.965645,175
1591228800000,2020-06-04,XRPEUR,0.1826,0.18739,0.18097,0.18117,94031.0,17268.26089,194
1591142400000,2020-06-03,XRPEUR,0.18305,0.18419,0.18098,0.18341,81927.5,14955.642722,149
1591056000000,2020-06-02,XRPEUR,0.18603,0.19199,0.17792,0.18309,195341.3,35974.867851,294
1590969600000,2020-06-01,XRPEUR,0.18357,0.18916,0.18282,0.18615,87190.9,16110.339865,179
1590883200000,2020-05-31,XRPEUR,0.18714,0.19333,0.18166,0.18332,123871.8,23155.766763,258
1590796800000,2020-05-30,XRPEUR,0.17866,0.1875,0.17841,0.18695,80725.3,14798.364486,150
1590710400000,2020-05-29,XRPEUR,0.1819,0.18194,0.17849,0.18009,75515.5,13663.218506,98
1590624000000,2020-05-28,XRPEUR,0.18209,0.18384,0.17943,0.18059,99408.7,18039.796982,172
1590537600000,2020-05-27,XRPEUR,0.18086,0.185,0.17915,0.18209,44490.4,8106.927319,119
1590451200000,2020-05-26,XRPEUR,0.18262,0.18262,0.17757,0.18004,54666.6,9845.375365,171
1590364800000,2020-05-25,XRPEUR,0.17953,0.18312,0.17462,0.18236,1302392.9,234036.426881,2413
1590278400000,2020-05-24,XRPEUR,0.18417,0.18685,0.17953,0.17953,45003.8,8281.438782,161
1590192000000,2020-05-23,XRPEUR,0.1869,0.18729,0.18425,0.18541,29565.1,5489.6575,107
1590105600000,2020-05-22,XRPEUR,0.17926,0.18888,0.178,0.18707,1028694.9,191960.524845,2667
1590019200000,2020-05-21,XRPEUR,0.18575,0.18706,0.17332,0.1796,245220.0,43558.7445,461
1589932800000,2020-05-20,XRPEUR,0.18791,0.1905,0.18,0.18653,195951.4,36730.087664,361
1589846400000,2020-05-19,XRPEUR,0.18834,0.18954,0.18604,0.188,61123.8,11473.955968,207
1589760000000,2020-05-18,XRPEUR,0.18732,0.19287,0.18645,0.18953,207368.3,39156.10643,371
1589673600000,2020-05-17,XRPEUR,0.18513,0.18949,0.18513,0.18609,217123.2,40897.037261,138
1589587200000,2020-05-16,XRPEUR,0.18638,0.18834,0.184,0.18526,173765.6,32267.725255,159
1589500800000,2020-05-15,XRPEUR,0.18813,0.19009,0.18119,0.18411,50370.5,9382.158583,140
1589414400000,2020-05-14,XRPEUR,0.18738,0.19333,0.18519,0.1891,243909.5,46155.07948,364
1589328000000,2020-05-13,XRPEUR,0.18257,0.19177,0.18257,0.18919,194827.2,36485.520766,376
1589241600000,2020-05-12,XRPEUR,0.18017,0.18601,0.17954,0.18313,191187.8,35109.719947,322
1589155200000,2020-05-11,XRPEUR,0.1854,0.1855,0.17413,0.1798,223785.0,40596.334687,393
1589068800000,2020-05-10,XRPEUR,0.19945,0.19945,0.16542,0.18044,641941.9,115242.702011,1065
1588982400000,2020-05-09,XRPEUR,0.20111,0.20771,0.19946,0.19947,353589.8,71860.067798,1042
1588896000000,2020-05-08,XRPEUR,0.20191,0.20569,0.19875,0.2017,498097.5,101115.67926,960
1588809600000,2020-05-07,XRPEUR,0.19759,0.20431,0.19528,0.20191,215471.4,43634.607376,469
1588723200000,2020-05-06,XRPEUR,0.20152,0.20609,0.19695,0.19695,89140.8,18066.569043,291
1588636800000,2020-05-05,XRPEUR,0.20111,0.205,0.19767,0.20111,116957.0,23503.59134,372
1588550400000,2020-05-04,XRPEUR,0.20055,0.20283,0.19016,0.20052,251291.1,49080.724688,495
1588464000000,2020-05-03,XRPEUR,0.20471,0.20652,0.19746,0.201,118860.4,24133.974988,425
1588377600000,2020-05-02,XRPEUR,0.19901,0.20592,0.19673,0.20411,202662.8,40755.582894,722
1588291200000,2020-05-01,XRPEUR,0.1968,0.20638,0.19563,0.19926,652046.6,131347.354423,1960
1588204800000,2020-04-30,XRPEUR,0.21,0.22,0.19236,0.19531,355732.1,72927.815852,726
1588118400000,2020-04-29,XRPEUR,0.20089,0.21508,0.19891,0.20908,256314.3,53078.241102,539
1588032000000,2020-04-28,XRPEUR,0.18278,0.2012,0.18195,0.20115,386622.1,74210.871287,615
1587945600000,2020-04-27,XRPEUR,0.18409,0.18598,0.18,0.18278,136761.6,25016.749757,259
1587859200000,2020-04-26,XRPEUR,0.1819,0.18372,0.17918,0.18334,71093.8,12924.658986,164
1587772800000,2020-04-25,XRPEUR,0.17917,0.18338,0.17818,0.1809,56578.5,10292.292049,124
1587686400000,2020-04-24,XRPEUR,0.17926,0.18367,0.179,0.18094,108288.9,19647.748714,201
1587600000000,2020-04-23,XRPEUR,0.17406,0.185,0.17327,0.17929,304763.3,54411.527846,250
1587513600000,2020-04-22,XRPEUR,0.17111,0.17599,0.17,0.17597,70419.4,12197.284386,133
1587427200000,2020-04-21,XRPEUR,0.17033,0.1733,0.16821,0.1724,263340.9,45075.382714,236
1587340800000,2020-04-20,XRPEUR,0.17557,0.18,0.166,0.16915,254384.5,43766.727852,345
1587254400000,2020-04-19,XRPEUR,0.17979,0.18131,0.175,0.17616,83955.6,14909.193932,164
1587168000000,2020-04-18,XRPEUR,0.17561,0.18161,0.1746,0.18131,93396.9,16669.047371,223
1587081600000,2020-04-17,XRPEUR,0.1756,0.177,0.1735,0.177,339111.1,59481.342274,206
1586995200000,2020-04-16,XRPEUR,0.16775,0.18,0.16248,0.17549,317944.1,54804.494044,310
1586908800000,2020-04-15,XRPEUR,0.17088,0.17465,0.167,0.16815,137587.7,23394.269757,198
1586822400000,2020-04-14,XRPEUR,0.17323,0.17413,0.17001,0.17202,88477.4,15220.220883,172
1586736000000,2020-04-13,XRPEUR,0.17675,0.17675,0.16491,0.17537,250345.3,42746.102001,349
1586649600000,2020-04-12,XRPEUR,0.17563,0.18275,0.17355,0.177,145976.9,26377.270529,255
1586563200000,2020-04-11,XRPEUR,0.17484,0.1788,0.17091,0.17525,116185.6,20317.231778,297
1586476800000,2020-04-10,XRPEUR,0.18219,0.18219,0.1685,0.17476,228181.5,40083.054191,432
1586390400000,2020-04-09,XRPEUR,0.18823,0.18823,0.18,0.18455,53156.7,9794.815261,122
1586304000000,2020-04-08,XRPEUR,0.17924,0.18869,0.17713,0.18795,80051.6,14822.018957,164
1586217600000,2020-04-07,XRPEUR,0.18355,0.18989,0.17562,0.1776,431105.2,78904.210877,412
1586131200000,2020-04-06,XRPEUR,0.16774,0.19559,0.16774,0.18261,163240.6,28735.588287,260
1586044800000,2020-04-05,XRPEUR,0.17089,0.17168,0.16479,0.1671,34805.8,5828.748044,97
1585958400000,2020-04-04,XRPEUR,0.16736,0.17167,0.16696,0.16868,97072.0,16442.872309,242
1585872000000,2020-04-03,XRPEUR,0.16615,0.171,0.16549,0.16876,138657.6,23261.133817,181
1585785600000,2020-04-02,XRPEUR,0.163,0.17299,0.16148,0.16501,182796.5,30244.293303,374
1585699200000,2020-04-01,XRPEUR,0.16019,0.1623,0.15674,0.16213,40329.9,6445.410926,141
1585612800000,2020-03-31,XRPEUR,0.1599,0.16509,0.15813,0.16072,112720.5,18324.784691,174
1585526400000,2020-03-30,XRPEUR,0.14886,0.16277,0.14886,0.1597,86433.5,13835.516452,220
1585440000000,2020-03-29,XRPEUR,0.156,0.16054,0.14927,0.14927,343858.4,53827.625576,721
1585353600000,2020-03-28,XRPEUR,0.1566,0.16465,0.15201,0.1611,234970.7,37126.330443,621
1585267200000,2020-03-27,XRPEUR,0.16249,0.17189,0.153,0.15776,305818.7,50228.55093,508
1585180800000,2020-03-26,XRPEUR,0.15021,0.16172,0.14677,0.16153,329930.4,49741.117182,623
1585094400000,2020-03-25,XRPEUR,0.15021,0.15344,0.14677,0.14933,170602.1,25473.193412,403
